lon,lat,regression_value,classification_label,combined_output_h_x
120.81,22.45,22.585,1,22.585
120.81,22.21,26.132000000000012,1,26.132000000000012
121.11,22.87,24.298999999999992,1,24.298999999999992
121.14,24.55,19.488000000000017,1,19.488000000000017
120.27,23.2,25.11099999999996,1,25.11099999999996
121.26,24.85,26.776000000000018,1,26.776000000000018
121.2,22.9,24.565000000000005,1,24.565000000000005
120.9,24.31,24.245,1,24.245
121.14,22.93,24.729999999999997,1,24.729999999999997
121.08,24.4,15.947999999999984,1,15.947999999999984
120.93,23.98,23.478,1,23.478
120.3,23.14,25.019999999999996,1,25.019999999999996
120.93,24.46,24.036000000000026,1,24.036000000000026
121.68,24.97,25.43199999999998,1,25.43199999999998
120.96,23.32,7.663999999999998,1,7.663999999999998
120.84,22.96,10.482000000000005,1,10.482000000000005
